,Hedge,HedgeContext,FativeVerb,FactiveVerbContext,AssertiveVerb,AssertiveVerbContext,ImplicativeVerb,ImplicativeVerbContext,ReportVerb,ReportVerbContext,StrongSub,StrongSubContext,WeakSub,WeakSubContext,PositiveWord,PositiveWordContext,NegativeWord,NegativeWordContext,BiasLexicon,bjp_count,congress_count
69,2.614379085,10.45751634,2.614379085,8.496732026,3.267973856,13.07189542,2.614379085,10.45751634,1.960784314,7.189542484,13.7254902,46.40522876,17.64705882,52.2875817,7.189542484,26.14379085,4.575163399,16.99346405,18.30065359,1.960784314,0
70,1.860465116,7.441860465,1.395348837,5.581395349,1.860465116,7.441860465,0.465116279,1.860465116,6.511627907,21.86046512,6.511627907,24.65116279,14.88372093,45.11627907,6.046511628,20,5.581395349,20.93023256,29.30232558,1.395348837,0
71,1.949860724,7.799442897,1.39275766,5.571030641,3.621169916,13.37047354,0.278551532,1.114206128,5.013927577,18.94150418,8.635097493,30.64066852,11.97771588,40.94707521,3.064066852,10.86350975,6.685236769,24.51253482,25.62674095,3.342618384,0.278551532
72,1.115241636,4.460966543,1.486988848,5.204460967,4.089219331,16.35687732,0.743494424,2.973977695,8.550185874,31.2267658,13.01115242,40.5204461,16.35687732,50.92936803,2.973977695,11.15241636,12.6394052,41.63568773,28.62453532,4.460966543,1.115241636
73,2.392344498,9.56937799,0.956937799,3.827751196,2.392344498,9.56937799,0,0,5.263157895,20.57416268,12.91866029,43.54066986,13.39712919,44.01913876,7.655502392,24.88038278,6.220095694,21.05263158,20.09569378,2.870813397,2.870813397
74,0.465116279,1.860465116,0.930232558,3.720930233,2.325581395,9.302325581,0.930232558,3.720930233,6.511627907,23.72093023,14.88372093,45.11627907,13.02325581,42.79069767,3.255813953,12.09302326,11.62790698,38.13953488,23.72093023,7.906976744,1.395348837
75,2.164502165,8.225108225,0.865800866,3.463203463,3.896103896,15.15151515,0,0,9.090909091,34.63203463,19.91341991,58.87445887,12.98701299,38.52813853,8.225108225,26.83982684,11.68831169,38.96103896,28.13852814,5.627705628,2.597402597
76,1.666666667,6.666666667,2.777777778,11.11111111,5,18.33333333,2.222222222,8.888888889,11.11111111,37.77777778,17.77777778,55,17.22222222,50,7.777777778,25.55555556,11.11111111,39.44444444,31.11111111,1.666666667,1.666666667
77,1.331114809,4.991680532,1.996672213,7.65391015,5.158069884,19.96672213,0.665557404,2.662229617,10.98169717,37.7703827,9.484193012,32.11314476,9.983361065,34.10981697,3.161397671,12.31281198,5.657237937,19.46755408,23.1281198,4.492512479,1.164725458
78,2.739726027,10.50228311,0.456621005,1.826484018,7.762557078,29.22374429,1.369863014,4.566210046,13.69863014,46.57534247,7.762557078,24.20091324,12.78538813,43.37899543,4.109589041,15.98173516,7.305936073,23.28767123,32.42009132,2.739726027,1.826484018
79,2.162162162,8.648648649,0.540540541,2.162162162,5.945945946,21.08108108,0,0,9.72972973,35.67567568,7.567567568,27.56756757,10.27027027,32.43243243,0,0,12.97297297,42.7027027,27.02702703,2.702702703,2.702702703
80,0,0,0,0,5,20,1.666666667,6.666666667,11.66666667,41.66666667,6.666666667,23.33333333,21.66666667,65,5,20,10,33.33333333,43.33333333,8.333333333,6.666666667
